,name,year,artist,lyric,,
10,A Homero,,Cátulo Castillo,"Fueron años de cercos y glicinas, de la vida en orsay, del tiempo loco. Tu frente triste de pensar la vida tiraba madrugadas por los ojos... Y estaba el terraplén con todo el cielo, la esquina del zanjón, la casa azul. Todo se fue trepando su misterio por los repechos de tu barrio sur.  Vamos, vení de nuevo a las doce... Vamos que está esperando Barquina. Vamos... ¿No ves que Pepe esta noche, no ves que el viejo esta noche no va a faltar a la cita?... Vamos... Total al fin nada es cierto y estás, hermano, despierto juntito a Discepolín...  Ya punteaba la muerte su milonga, tu voz calló el adiós que nos dolía; de tanto andar sobrándole a las cosas prendido en un final, falló la vida. Yo sé que no vendrás pero, aunque cursi, te esperará lo mismo el paredón, y el tres y dos de la parada inútil y el resto fraternal de nuestro amor...",,
11,A Horacio Ferrer,2014,Bosco Ortega,"A Horacio Arturo Ferrer Ezcurra  Estirpe de pinta y bardo, la vida le templa el traje, alma de lucero y cardo, brota el tango en su linaje.  Un criollo de cuño cierto, hecho a milonga y payada, del fueye sale a su puerto cuando suena a sudestada.  Un bohemio filosofal y un duende fabulador, un nochero cenital y un demiurgo cantador.  Muy Pichuco, por Gardel,  su destino logró ser bardo de bello laurel, tan Horacio, por Ferrer.  De corazón rioplatista en sus gemelas orillas, un Abasto surrealista y un cantegril cajetilla   Con más noches que la luna, guarda un sol en cada verso, ya poeta, desde la cuna: todo un hombre, sin reverso.  Sábado 28 de Agosto de 2014 – 02:42 De Resistencia a Balvanera.",,
12,A Horacio Ferrer [b],,Gabriela Elena,"(Recitado) Maestro Ferrer, respecto de la vida, no me puedo quejar: desde Génova, mi apellido es Elena, me cuidaron del hambre y las tormentas, el arte me ocurre estremeciéndome con lágrimas y todo, conocí el amor, y mis amigos son estrellas encendidas en la noche más aciaga y fría. Como si todo esto no bastará leí sus poemas.  Maestro Ferrer Yo no sé cómo será mi muerte, pero la prefiero… Tangamente.  (Cantando) Con tanto criminal de la palabra hay un poema que se dice muerto, es animal amado que desangra cálidas vísceras, en el camino invierno.  Una jauría ronca y salivante rastrea juglares por los arrabales, te encuentra y te ruega salves al poema y le hables cerquita con tu voz milagro.  Discépolo, Manzi, Astor, Pichuco, Rimbaud, Carriego, con nacarado sosiego besan tu barba y tus ojos.  …y es ahí, cuando tu boca le susurra un… tangamente y el madrigal intemperie vive y resuda milonga.  Los viejos y las trolas y los patios dan gracias y dicen canyengue rosario: a vos y a tus versos abrigan rezando cinco padretuyos y diez avehoracios.",,
13,A José Neira,,José Canet,"A José Neira le digo al compás de mi encordado... y el sentimiento agrandado al saber que soy su amigo. La felicidad consigo con su amistad bien segura, junto al amigo Uemura que es hincha de Independiete, que es cordial y consecuente y del tango es literatura.  Cuando llegas bien temprano lo ves con sus compañeros... Sonriente y dicharachero Listo pa’darte una mano, siempre con gesto de hermano y amigazo sin igual, nos va dejando el caudal de su cariño infinito... y nos da los cartoncitos para entrar a la oficial.  Mi habitual sincerdad saluda de corazón... al jefe de división de sección seguridad. Yo les digo la verdad que allí en Palermo es el rey y paso un santo de ley para el que quiera abrazarlo... Vaya derecho a buscarlo al interno 26.",,
14,A la gran muñeca,1920,Miguel Osés,"Yo te he visto pasar por la acera con un gesto de desolación y al cruzar no miraste siquiera, que entendía tu desilusión. Te ha dejado, lo sé, la malvada y al calor de otros ojos se va; ya lo ves cómo no queda nada de ese amor que matándote está.  Volvé, jamás otras manos cual las de tu mujercita harán por la tardecita los mates que cebo yo. Que en su espuma te contaba que además de su dulzura allí estaba la ternura de aquella que lo cebó.  Y por mucho que te quieran siempre serán artificios, nadie hará los sacrificios que hizo por vos tu mujer. En mis noches de vigilia acongojada no duermo sabiendo que estás enfermo sin poderte socorrer.  Allá en la noche callada te veo triste y burlado por aquella que ha llevado mi vida y mi corazón. Volvé que aquí has de olvidarla, mi pecho siempre te espera, ya sabrá tu compañera cicatrizar tu pasión.",,
15,A la luz del candil,1927,Julio Navarrine,"¿Me da su permiso, señor comisario? Disculpe si vengo tan mal entrazao, yo soy forastero y he caido al Rosario, trayendo en los tientos un güen entripao. Acaso usted piense que soy un matrero, yo soy gaucho honrado a carta cabal, no soy un borracho ni soy un cuatrero; ¡Señor comisario... yo soy criminal!...  ¡Arrésteme, sargento, y póngame cadenas!... ¡Si soy un delincuente, que me perdone Dios!  Yo he sido un criollo güeno, me llamo Alberto Arenas. ¡Señor... me traicionaban, y los maté a los dos! Mi china fue malvada, mi amigo era un sotreta; cuando me fui a otro pago me basureó la infiel. Las pruebas de la infamia las traigo en la maleta: ¡las trenzas de mi china y el corazón de él!  ¡Párese, sargento, que no me retobo!... Yo quiero que sepan la verdad de a mil... La noche era oscura como boca'e lobo; Testigo, solito, la luz de un candil. Total, casi nada: un beso en la sombra... Dos cuerpos cayeron, y una maldición; y allí, comisario, si usted no se asombra, yo encontré dos vainas para mi facón.  ¡Arrésteme, sargento, y póngame cadenas!... ¡Si soy un delincuente, que me perdone Dios!",,
16,A la mujer argentina,,Alejandro Romay,"Mujer argentina, pedazo de historia, que ofreces tu vida, ternura y amor. El pobre poeta, en pos de la gloria, olvida que es hijo de madre en dolor. Con letras de tango te insulta y ofende al fango te arrastra y ciego en su acción, por unas monedas cual Judas te vende mientras canta el pueblo lo que nunca sintió.  Que tire la piedra quien nunca pecó, que de frente hiera a quien por amor se dio. Son madres, son novias, despierta a la luz, muéstrales el camino antes que lleven la cruz.  Mujer argentina, pedazo de historia, que ofreces tu vida, ternura y amor, en ritmo de tango yo quiero cantarte, fundirme en tu pecho, pedirte perdón. Para que el poeta que no quiere verte en las aguas limpias de un manantial, y en cambio prefieren, con loco sadismo, buscarte en el fondo de su propio fangal.",,
17,A la sombra del recuerdo,,Francisco García Jiménez,"En las nieblas de mi vida se filtran pálidas luces: son nostalgias de un amor, de una amistad, de una emoción... Son las horas generosas que en un mundo sin fortuna nos hicieron menos triste, menos mala y menos dura la carga del dolor...  A la sombra del recuerdo llega un poco de los soles que alumbraron otro tiempo mis mañanas de ilusiones. Y esos soles que recibo con la ansiedad de un enfermo, son consuelo alegre y tibio de éste herido corazón...  Yo no lloro desengaños, ni hay un rencor que me crispe; lo pasado es todo igual: sentimental evocación... Las espinas y los besos, lo ganado y lo perdido, todo evoco sonriendo para no morir sufriendo tirado en mi rincón...",,
18,A las ocho... ¡Tango Club!...,,Roberto Vidal,"Las ocho de la noche en Buenos Aires y como antes, ahora, el instante en que la voz de la ciudad abraza como tenazas y acerca lo distante. Contando historias nuevas o vetustas (espera mustia que pinta el gris paisaje); los bandoneones nos hablan su lenguaje:  ...¡El glorioso Tango Club!... ¡A las ocho... tango...!  Presencia de figuras consulares... nuevos nombres que heredaron del porteño su cantar. Figuras de nuestro tango... como hoy, como era antaño. fuego sagrado y lirista, volverán protagonistas... Buenos Aires... ¡inmortal!",,
19,A las siete en el café,,Santiago Adamini,"Te extraña verme así como he llegado tan temprano y descuidado en el modo de vestir. No creas que he venido contrariado a buscar algo olvidado y después vuelvo a salir.  Hermano, vos que sos mi compañero un amigo verdadero que sabés de mi vivir. Te ruego, que me escuches un momento quiero hablarte del encuentro que me vuelve a hacer feliz.  Ayer por la tarde, al llegar a la cortada, oí que me hablaban y al mirar quién era vi a la piba Margarita la que fue mi amor primero y que yo por milonguero un mal día la perdí.  Te juro que nunca me sentí tan apocado, estaba atontado sin saber lo que decir. Pero pronto comprendiendo que vivía equivocado prometí volver al lado, de su amor hasta morir.",,
20,A Leopoldo Federico,,Ana María Marzábal,"Yo comprendo Leopoldo tu cansancio. Tabarís, Tibidabo y muchos más. Junto a Gobbi a Grela y desde el piano junaban de reojo Maderna con Salgán.  Lo veo a Antonio Príncipe a tu lado inmortal, de un pasado sin igual. Y recuerdo que venías para el centro Pugliese la rompía, allá en el Nacional.  Tocá un tango más... para los locos de las puertas sin salidas gambeteando las veredas desparejas, buscando eternidad en las esquinas.  Tocá un tango más... será un mensaje al mar en la botella con perfume de malvones y glicinas y un bandoneón, brillando en una estrella.  Tocá un tango más... para nosotros que aplaudimos sin sordinas. ¡Hermano mío!, tocá un tango más. Un tango más... sin final...  Federico. Leopoldo nacarado tu talento nos hace emocionar. Inventaron los duendes de los fueyes que vuelen de tus manos palomas de bondad.  Del filo de una simple melodía vos hacés que se vuelva celestial. Y recuerdo que venías para el centro Pugliese la rompía, allá en el Nacional.",,
21,A lo Magdalena,1954,Luis Alposta,"Su historia empezó una tarde, en el preciso momento en que fue a dar a un convento, pues según ella contó, su mama la abandonó en el Mercado de Abasto y atorrando en un canasto una monja la encontró.  Después de cumplir los quince dio el primer paso fulero. Se acoyaró a un quinielero creyéndolo un buen partido. Era un negrito fornido que, por ser rana y de oficio, cuando entró a junarle el vicio la empezó a fajar tupido.  Y al cabo de cierto tiempo de aguantiñar tanta biaba, cayó de suerte la taba y su premio fue un mishé. De aquí en más, lo que yo sé, es que éste adornó su frente, además de un regio ambiente por Larrea y Santa Fe.  Y así, como en pleno mate en el que el agua se acaba, se cortó lo que se daba. ¡Muy poco el piolín se estira! Nadie por ella suspira, su escracho destila pena, y hoy llora a lo Magdalena al escuchar Yira Yira.",,
22,A lo Megata,,Luis Alposta,"El barón Megata, en el año veinte, se tomaba el buque con rumbo a París, y allí, entre los tangos y el ""dolce far niente"", el japonesito se hizo bailarín. Flaco y bien plantado. Pinta milonguera. De empilche a lo duque, aun siendo barón. Bailó con Pizarro, y una primavera empacó los discos y volvió a Japón.  Y así llevó el tango a tierra nipona, donde gratarola lo enseñó a bailar. Cuentan que Megata no cobraba un mango, por amor al tango y por ser bacán.  No sólo enseñaba cortes y quebradas, también daba clases de hombría de bien; junaba de noches y de madrugadas, piloteaba aviones y más de un beguén. Y tal vez ahora, que está aquí presente, mientras una Sony nos pasa ""Chiqué"", alguien, allá en Tokio, elegantemente, baile a lo Megata sin saber quién fue.",,
23,A lo mejor quién te dice,,Celedonio Flores,"Salí pebeta, bailá, que está sonando un gotán. Un tango de rompe y raja, para no desperdiciar. No digas que no, pebeta, andá, no te hagas rogar. Salí pebeta, bailá, que está sonando un gotán.  A lo mejor, quién te dice, que el mocito compañero está esperando este tango pa’ decirte: “Yo te quiero”. Porque en cuestión de querer nada se puede preveer. Que el tango para el cariño buena ayuda suele ser.  Salí pebeta, bailá, que está sonando un gotán.",,
24,A mal tiempo buena cara,,Ivo Pelay,"No tengo un mango, pero me río porque en la risa, la vida está... No tengo un mango, pero confío en que la patria se salvará... Hoy mis bolsillos se ribetearon lánguidamente con un crespón quedaba un níquel y al despedirlo le di tarjeta de defunción...  A mal tiempo, buena cara -como dice la patrona- a mal tiempo buena cara y cuerpear el temporal... Y pensar que hoy en el mundo todo va como la mona y los mangos decretaron una huelga general... Si es por mí, que siga el corso que yo estoy en la laguna y no pienso complicarme porque basta la salud... Mi patrona y su sonrisa tienen pinta de fortuna... y a mal tiempo... buena cara, ¡mientras haya juventud!...  No tengo un mango, pero algún día para amargarme va a aparecer... y me palpito que la alegría de mi patrona va a encanecer... Yo en cuanto llegue me lo patino y el paterío proseguirá... No tengo un mango, pero me río, ¡porque en la risa la vida está!...",,
25,A media luz,1924,Carlos Lenzi,"Corrientes 3, 4, 8, segundo piso, ascensor. No hay porteros ni vecinos. Adentro, cocktail y amor. Pisito que puso Maple: piano, estera y velador, un telefón que contesta, una victrola que llora viejos tangos de mi flor y un gato de porcelana pa' que no maulle al amor.  Y todo a media luz, que es un brujo el amor, a media luz los besos, a media luz los dos. Y todo a media luz crepúsculo interior. ¡Qué suave terciopelo la media luz de amor!  Juncal 12, 24 Telefoneá sin temor. De tarde, té con masitas; de noche, tango y cantar. Los domingos, tés danzantes; los lunes, desolación, Hay de todo en la casita: almohadones y divanes; come en botica, cocó; alfombras que no hacen ruido y mesa puesta al amor.",,
26,A medianoche,1926,Enrique Dizeo,"Cuando el suburbio dormita, bajo la lluvia o en noche serena, cruza como un alma en pena las tristes calles una viejecita.  Anda vagando hasta el alba y en las sombras se suele ocultar, pobre mujer, camina sin cesar llevando a cuestas todo su penar.  La gente buena de los barrios bajos, esos humildes que saben su historia, dicen que un día su nietecita, la muy malita, dejó el hogar.  Y desde entonces, invierno y verano, a medianoche la vieja, vive con su amarga queja sumida en la soledad.  Y así se pierde por los arrabales, hecha una piltrafa humana, porque en su vida tirana no halló más que falsedad.  Como un gemido doliente, llena de harapos, cabizbaja y mustia, siempre se le ve silente con todo el peso de su negra angustia.  Y maldiciendo la suerte, que en su pecho congojas dejó, llora su fin al ver que ya perdió el dulce amor que de ella se olvidó.  Tal vez la nieta malvada y mezquina hoy no se acuerde de su tierna abuela. Sólo sabe que está dormido el pobre nido que abandono.",,
27,A mi barrio,,Norma Montenegro,"En tu barriada Villa Madero con ilusiones ancló mi alma crisol de razas tu vecindario con el lucero despierta y canta.  Ventana abierta a la aventura en tus veredas jugó la infancia de aquellos hombres que te poblaron junto a sus hijos con esperanza.  Viejos romances de serenata robaron lunas para alumbrar momentos gratos que antaño fueran el fiel latido de este arrabal. Algunas noches bajo la parra evoco nombres que ya no están todo ha cambiado Villa Madero, ¡hoy el progreso te hizo Ciudad!  En mis recuerdos están presentes las fabriqueras de Federal con sus anhelos, con sus primores jardín de ensueño su mocedad.  El tren lechero ya es el pasado sobre los rieles creciendo están las manzanillas y los cardales jirón del tiempo que a prisa va.",,
28,A mi calle,1994,Marta Pizzo,"Hoy tus negros cordones reflejan las estrellas y sudorosa brillas por el calor del sol; acaricias las hojas que flotan en tu orilla y esperando mis pasos envejeces verdor.  Debajo de tu manta guardas brisas de enero, heladas tardecitas, arenas y un querer; esbozas mil sonrisas entre tu piel herida, mientras mis pasos tristes te ven anochecer.  Tú entibiaste el pasado que revivo al andarte... Tú me recuerdas siempre los días del ayer cuando paseaba, erguida, recorriendo tu entorno, viviendo mis historias, intentando  crecer.  Y si te habrán mojado mis lágrimas entonces... ¡Si te habré contemplado con tremendo placer! Y temblorosa, a veces, te acaricié a mi paso sin levantar los ojos, temiendo enrojecer.  Hoy vuelvo a caminarte, callecita del barrio, reconozco los pozos marcados en tu ser, ya no eres la de entonces, cansada, desteñida, habrás envejecido, tal como yo... tal vez.  Finalista en el Primer Certamen de tangos Enrique Santos Discépolo, año 1999.",,
29,A mí dejame en mi barrio,,Francisco Amor,"Qué me hablás de Nu York, qué querés con París... Palacetes de lujo, rascacielos sin fin. ¿Qué sos, dama de alcurnia o de rango, decís? ¡Sí! Yo sé que a mi lado nunca has sido feliz.  ¡Despertate, atendé, despertate y oí! ¿Qué me hablás de Nu York, qué querés con París?  ¿A mí?... ¡Dejame en mi barrio!, de casitas desparejas rincones donde se amansan recuerdos de cosas viejas. Si hasta el tapial se remoza de madreselva olorosa aromando el arrabal, y aquí las calles son canchas y el sol se tira a sus anchas, y en todo hay color de hogar. ¿A mí?... ¡Dejame en mi barrio! Aquí el luchar y el sufrir, aquí amé y aquí he vivido y aquí tendré que morir...  Vos nacista pa’ser, lo que sos, ¡nada más! mariposa andariega y en tus alas llevás la inquietud de otros cielos y en el lujo quemás la nostalgia del barrio que ya nunca verás.  ¡Despertate, atendé, despertate y oí! ¿Qué me hablás de Nu York, qué querés con París?",,
30,A mi hijo,,Ernesto Pierro,"Hubiera querido estar siempre cerca, en todo momento brindarte calor, pasarte la posta de aquello vivido, todo lo aprendido dejártelo a vos.  Hubiera querido brindártelo todo —luché por que vieras un mundo mejor—, hubiera querido que no tengas penas, que solo supieras de risa y fulgor.  Que siempre tengas nido. Que no te falte el cielo. Un nido de ternura. Un cielo de ilusión. Y que tus frutos lleguen para brindarte abrigo —aquel que cubre el alma cuando se pone el sol—. Que siempre tengas dicha, amigos muy sinceros, y un hada compañera que te regale amor. Que toda tu nobleza reciba igual nobleza. Que siempre tu entereza contagie igual valor.  Busqué —cuanto pude—, querido hijo mío, abrirte al prodigio de la libertad, sembrar el sendero de las ilusiones, hacer la fortuna de la dignidad.  Y cuando me vaya, muy lejos del Tiempo, y sean recuerdo mi sombra y mi voz, ojalá palpiten en tu sentimiento mi tango y las huellas de mi corazón.",,
31,A mi hijo [b],,Georgina Vargas,"De tanto andar y andar por esta vida mi alma quedó llena de alegría y entonces se hizo carne la poesía que en mi sentir siempre existió.  Y así naciste tú, mi hijo querido, contento del placer de muchos mimos llenando nuestro mundo de sonrisas de amor y tanta felicidad.  Y fuiste tú, quien surgió de mí de mi pasión voraz por ser feliz y fuiste tú quien me despertó el ansia da amar y ser mejor. Sos, hijo mío, con tu luz el que trajo su paz enseñando a vivir. Sos el que regalo a mi amor la potencia de ser el motor de mi vida.  Qué fácil fue aprender y comprender que el puro amor es tan sencillamente sentirme muy dichosa con tan solo entregar todo mi amor.  Te miro, te abrazo y te beso y siento que eso llena mis sentidos, que nutre mi alma para que yo pueda llevar a todos mi amor.  Y fuiste tú quien me enseñó la fe que surge de un amor así y fuiste tú quien logró encender el fuego de amar a todo ser. Sos, hijo mío, con tu luz el que trajo su paz enseñando a vivir, sos el que regaló a mi amor la potencia de ser el motor de mi vida.",,
32,A mí me llaman Juan Tango,1944,Carlos Waiss,"Soy un mozo pobre y bueno que en la vida me he curtido, yo soy como siempre he sido para todo franco y leal. No debo ni a mí me deben y si hay algo en mi pasado yo bien sé que está borrado, porque a nadie le hice mal.  A mí me llaman Juan Tango, si yo le fuera a contar, mi cuna fue un barrio pobre humilde como es el pan, traigo en los ojos antojos de agua florida y percal. Bajo el ala del chambergo genio y figura de mi ciudad a mí me llaman Juan Tango si yo le fuese a contar.  Para mí todos son buenos porque a golpes con la vida me gusta que a mí me midan lo mismo que mido yo. Yo siempre he sido sencillo y si el pasado me llama con fragancia de retama voy dejando mi canción.",,
33,A mi nieto,2010,Eradio Minotti,"Como una estrella del cielo llegaste en tu vuelo a mis años ya viejos. Llenos tus ojos traviesos de amor, de consuelo, de vida y festejos es que la vida recobra una esperanza al ver los ojos de un nieto es ver que brota a la luz de la mano de Dios un nuevo amor.  Creo en Dios porque en la fe de sueños y destinos yo le pedí que en mi camino sienta tu paso junto al mío. Creo en Dios porque te tengo y es bastante sentir tu abrazo acariciante eso es vivir en bendición. Vive Dios caminas a mi lado, de la mano tomados, qué más quiero, por Dios.",,
34,A mí no me den consejos,1930,Juan Andrés Caruso,"Todo el mundo tiene el bien de aconsejarme como a pibe que ha faltado a sus deberes. Me aconsejan que debía de cuidarme y no ven que es suicidarme renunciar a mis placeres. Me aconsejan que no gaste, que no chupe, que no juegue ni una ficha a la ruleta y que guarde lo que el viejo me dejó. Pero yo quiero el escabio y las pebetas, ¡lo demás son fantasía del poeta Campoamor!  A mí no me den consejos, ¡Denme plata, mucha plata! Quiero derrochar la vida gozando mi juventud. A mí no me den consejos, déjenme de esas macanas. ¡Qué me importa del mañana, si hoy soy, con plata y salud, más feliz que bataclana que ha triunfado en su debut!  Yo conozco más de cuatro que con vento pretendieron llevar una vida seria, los cacharon, ahí nomás p'al casamiento, y, a pesar de todo el vento, pasan vida de miseria. Yo no soy un candidato p'al casorio, y me siento muy feliz y acomodado con los miles que de los viejos heredé. Y oigan bien: ¡Ya me tienen muy cansado los que dicen que algún día me voy a quedar de a pie!",,
35,A mí no me hablen de penas,1940,Enrique Cadícamo,"Es inútil... no te puedo olvidar... Es en vano... nada... nada me hace cambiar... Tu sonrisa me persigue y me ronda, tus raíces en mi alma como sondas dolorosas más escarban y se ahondan... Es terrible este incesante dolor... es artero, todo, todo tu hondo rencor... Pero lo que más y más me obsesiona es saber que hoy otro hombre te apasiona... es saber que no me amás... Y a pesar de que te odio: ¡Cada día... cada hora... cada cruel minuto amada! ¡Cada vez te quiero más!...  A mí no me hablen de penas porque yo penando vivo. Esto lo digo y me apena porque tengo mis motivos... A mí no me hablen de penas porque yo penando vivo. En la “Escuela del Querer” con gran dolor aprendí el amor de la mujer... Y en la “Escuela del Querer” como todo lo aprendí no tengo más que aprender.  Vivo atado a tu recuerdo... ¡mujer!... Vivo atado en aquel cariño de ayer. Siento ganas de buscar otros besos... Siento ganas de buscar otros amores y en tus ojos traicioneros estoy preso. En mis noches de tormentos y horror quiero a veces ir para pedirte perdón... Pero luego me sereno y lo pienso y de toda esa limosna me avergüenzo ¡porque yo no sé rogar!... Y a pesar de que te odio: ¡Cada día... cada hora... cada cruel minuto ¡amada!... ¡Cada vez te quiero más!...",,
